"code","id","account_type","chart_template_id/id","name","note","reconcile"
"129","ba_fbih_129","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ispravka vrijednosti proizvoda",,
"130","ba_fbih_130","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Obračun troška nabavke robe",,
"131","ba_fbih_131","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Nekretnine nabavljene radi dalje prodaje",,
"132","ba_fbih_132","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Roba u prodaji na veliko",,
"133","ba_fbih_133","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Roba u maloprodajnim objektima",,
"134","ba_fbih_134","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Roba u tranzitu, komisionu i konsignaciji",,
"135","ba_fbih_135","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Roba na putu",,
"136","ba_fbih_136","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Roba u obradi i doradi",,
"137","ba_fbih_137","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ukalkulisana razlika u cijeni",,
"138","ba_fbih_138","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ukalkulisani PDV",,
"139","ba_fbih_139","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ispravka vrijednosti robe",,
"140","ba_fbih_140","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Nematerijalna sredstva namijenjena prodaji",,
"141","ba_fbih_141","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Zemljište namijenjeno prodaji",,
"142","ba_fbih_142","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Građevinski objekti namijenjeni prodaji",,
"143","ba_fbih_143","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Postrojenja i oprema namijenjeni prodaji",,
"144","ba_fbih_144","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Investicijske nekretnine namijenjene prodaji",,
"145","ba_fbih_145","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Biološka sredstva namijenjena prodaji",,
"146","ba_fbih_146","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ostala stalna sredstva namijenjena prodaji",,
"147","ba_fbih_147","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Sredstva obustavljenog poslovanja namijenjena prodaji",,
"149","ba_fbih_149","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ispravka vrijednosti sredstava namijenjenih prodaji i obustavljenog poslovanja",,
"150","ba_fbih_150","asset_prepayments","l10n_ba.l10n_ba_fbih_chart_template","Dati avansi za zalihe i usluge povezanim pravnim licima",,
"151","ba_fbih_151","asset_prepayments","l10n_ba.l10n_ba_fbih_chart_template","Dati avansi za zalihe i usluge ostalim pravnim licima",,
"159","ba_fbih_159","asset_prepayments","l10n_ba.l10n_ba_fbih_chart_template","Ispravka vrijednosti datih avansa",,
"200","ba_fbih_200","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Transakcijski računi, domaća valuta",,
"201","ba_fbih_201","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Transakcijski računi, strana valuta",,
"202","ba_fbih_202","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Izdvojena novčana sredstva",,
"203","ba_fbih_203","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Akreditivi, domaća valuta",,
"204","ba_fbih_204","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Akreditivi, strana valuta",,
"205","ba_fbih_205","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Blagajne, domaća valuta",,
"206","ba_fbih_206","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Blagajne, strana valuta",,
"207","ba_fbih_207","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Gotovinski ekvivalenti",,
"208","ba_fbih_208","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ostala novčana sredstva",,
"209","ba_fbih_209","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Oročena novčana sredstva",,
"210","ba_fbih_210","asset_receivable","l10n_ba.l10n_ba_fbih_chart_template","Kupci - povezana pravna lica",,"True"
"211","ba_fbih_211","asset_receivable","l10n_ba.l10n_ba_fbih_chart_template","Kupci u zemlji",,"True"
"212","ba_fbih_212","asset_receivable","l10n_ba.l10n_ba_fbih_chart_template","Kupci u inostranstvu",,"True"
"219","ba_fbih_219","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ispravka vrijednosti potraživanja od kupaca",,
"220","ba_fbih_220","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Potraživanja od izvoznika",,
"221","ba_fbih_221","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Potraživanja po osnovu uvoza za tuđi račun",,
"222","ba_fbih_222","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Potraživanja po osnovu konsignacione i komisione prodaje",,
"223","ba_fbih_223","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Potraživanja iz zajedničkih poslova",,
"228","ba_fbih_228","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ostala potraživanja iz specifičnih poslova",,
"229","ba_fbih_229","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ispravka vrijednosti potraživanja iz specifičnih poslova",,
"230","ba_fbih_230","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Potraživanja za kamatu i dividendu od povezanih pravnih lica",,
"231","ba_fbih_231","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Potraživanja za kamatu i dividendu od drugih subjekata",,
"232","ba_fbih_232","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Potraživanja od zaposlenika",,
"233","ba_fbih_233","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Potraživanja od državnih organa i institucija",,
"234","ba_fbih_234","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Potraživanja za više plaćeni porez na dobit",,
"235","ba_fbih_235","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Potraživanja za više plaćene ostale poreze i doprinose",,
"238","ba_fbih_238","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ostala kratkoročna potraživanja",,
"239","ba_fbih_239","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ispravka vrijednosti drugih kratkoročnih potraživanja",,
"240","ba_fbih_240","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Kratkoročni krediti povezanim pravnim licima",,
"241","ba_fbih_241","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Kratkoročni krediti dati u zemlji",,
"242","ba_fbih_242","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Kratkoročni krediti dati u inostranstvo",,
"243","ba_fbih_243","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Kratkoročni dio dugoročnih kredita",,
"244","ba_fbih_244","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Kratkoročni dio dugoročnih vrijednosnih papira",,
"245","ba_fbih_245","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Finansijska sredstva namijenjena trgovanju",,
"246","ba_fbih_246","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Druga finansijska sredstva označena po fer vrijednosti",,
"248","ba_fbih_248","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ostali kratkoročni finansijski plasmani",,
"249","ba_fbih_249","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ispravka vrijednosti kratkoročnih finansijskih plasmana",,
